frame,arm,activity,depth,cube_size,pushing_power,size_reduction,size_reduction_component,combined_reward
111,6,2.43,308,4,1.00,1.00,0.40,1.00
112,6,2.46,308,4,1.00,0.00,0.00,0.60
112,6,1.05,307,4,2.00,0.00,0.00,1.20
112,6,1.72,303,7,3.00,4.00,1.60,3.40
113,6,2.47,308,5,1.00,2.00,0.80,1.40
114,6,2.48,308,5,1.00,1.00,0.40,1.00
114,6,1.38,307,4,2.00,0.00,0.00,1.20
115,6,2.49,308,5,1.00,1.00,0.40,1.00
115,6,1.37,303,7,2.00,4.00,1.60,2.80
116,6,2.49,308,5,1.00,0.00,0.00,0.60
116,6,1.50,307,6,2.00,2.00,0.80,2.00
93,6,1.00,332,4,1.00,1.00,0.40,1.00
93,6,1.00,333,4,2.00,1.00,0.40,1.60
94,6,2.00,331,4,1.00,2.00,0.80,1.40
95,6,1.36,333,4,1.00,1.00,0.40,1.00
96,6,1.82,333,4,1.00,1.00,0.40,1.00
97,6,2.09,333,4,1.00,1.00,0.40,1.00
98,6,2.25,333,4,1.00,1.00,0.40,1.00
99,6,2.35,333,4,1.00,1.00,0.40,1.00
100,6,2.41,333,4,1.00,1.00,0.40,1.00
101,6,2.45,333,4,1.00,1.00,0.40,1.00
102,6,2.47,333,4,1.00,0.00,0.00,0.60
102,6,1.03,331,4,2.00,0.00,0.00,1.20
102,6,1.13,327,4,1.00,1.00,0.40,1.00
102,6,1.00,334,4,2.00,1.00,0.40,1.60
104,6,1.36,334,4,1.00,0.00,0.00,0.60
104,6,2.49,333,4,2.00,0.00,0.00,1.20
104,6,1.37,331,4,3.00,0.00,0.00,1.80
104,6,1.41,327,4,1.00,1.00,0.40,1.00
105,6,1.82,334,4,1.00,1.00,0.40,1.00
106,6,2.09,334,4,1.00,1.00,0.40,1.00
106,6,2.00,319,8,2.00,6.00,2.40,3.60
107,6,2.25,334,4,1.00,1.00,0.40,1.00
108,6,2.35,334,4,1.00,1.00,0.40,1.00
108,6,1.72,319,8,2.00,6.00,2.40,3.60
109,6,2.41,334,4,1.00,0.00,0.00,0.60
109,6,1.19,333,4,2.00,0.00,0.00,1.20
109,6,1.11,331,4,3.00,0.00,0.00,1.80
109,6,1.11,327,4,1.00,1.00,0.40,1.00
110,6,2.45,334,4,1.00,0.00,0.00,0.60
110,6,1.67,327,4,3.00,0.00,0.00,1.80
110,6,1.62,319,8,4.00,6.00,2.40,4.80
103,6,1.00,342,4,1.00,0.00,0.00,0.60
94,6,1.00,352,6,1.00,1.00,0.40,1.00
94,6,1.00,353,5,1.00,1.00,0.40,1.00
95,6,1.60,353,6,1.00,1.00,0.40,1.00
95,6,2.00,351,7,2.00,5.00,2.00,3.20
95,6,1.00,354,5,1.00,0.00,0.00,0.60
84,6,1.00,366,3,1.00,1.00,0.40,1.00
85,6,1.60,366,3,1.00,0.00,0.00,0.60
85,6,2.00,365,3,2.00,0.00,0.00,1.20
76,6,1.00,376,2,1.00,1.00,0.40,1.00
77,6,1.60,376,2,1.00,1.00,0.40,1.00
78,6,1.96,376,2,1.00,1.00,0.40,1.00
79,6,2.18,376,2,1.00,1.00,0.40,1.00
80,6,2.31,376,2,1.00,0.00,0.00,0.60
80,6,1.22,375,2,2.00,0.00,0.00,1.20
81,6,2.38,376,3,1.00,1.00,0.40,1.00
82,6,2.43,376,3,1.00,1.00,0.40,1.00
82,6,1.44,375,2,2.00,0.00,0.00,1.20
83,6,2.46,376,3,1.00,1.00,0.40,1.00
84,6,2.47,376,3,1.00,0.00,0.00,0.60
84,6,1.52,375,5,2.00,3.00,1.20,2.40
85,6,2.48,376,4,1.00,1.00,0.40,1.00
